hotel_address,additional_number_of_scoring,review_date,average_score,hotel_name,reviewer_nationality,negative_review,review_total_negative_word_counts,total_number_of_reviews,positive_review,review_total_positive_word_counts,total_number_of_reviews_reviewer_has_given,reviewer_score,tags,days_since_review,lat,lng
22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom,930,07-06-2016 0:00,8.9,London Marriott Hotel West India Quay,United Kingdom,All good,3,2836,Everything had a great time staff were great and friendly Little hard to get a drink later at night but it was busy,25,1,9.6,"[' Leisure trip ', ' Couple ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",422 day,51.507,-0.021
Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands,973,13-03-2017 0:00,8,Park Plaza Victoria Amsterdam,United Kingdom,Rooms are a little dated,6,4820,Excellent location standard rooms are a little dated however very clean Very helpful staff fantastic level of service Perfect location,22,6,8.8,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",143 day,52.377,4.898
44 Grosvenor Square Westminster Borough London W1K 2HP United Kingdom,806,23-06-2016 0:00,7.8,Millennium Hotel London Mayfair,United Kingdom,Staff were very rude shower wouldn t turn off,10,3117,Location,2,1,2.9,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room ', ' Stayed 2 nights ']",406 day,51.511,-0.151
25 Courtfield Gardens Kensington and Chelsea London SW5 0PG United Kingdom,222,01-05-2016 0:00,9,The Nadler Kensington,Malta,Minute room,3,1209,No Positive,0,4,8.8,"[' Business trip ', ' Solo traveler ', ' Small Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",459 day,51.493,-0.19
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,30-12-2015 0:00,7.7,Hotel Arena,United States of America,No Negative,0,1403,location and staff,4,3,9.6,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",582 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,06-02-2017 0:00,7.7,Hotel Arena,Malaysia,The place is completely mismanaged The property is amazing and whoever is running the place is doing it a disservice Don t stay here if you are expecting a 4 star experience it s a 4 star location with 1 star service The restaurant service is the worst I have ever experienced The staff need guidance on how to serve efficiently The hotel has many strange design choices too Had a double bedroom with a friend yet you can easily see into the bathroom shower and toilet Shower overflows all over bathroom quickly You can see into the urinals from the reception area Loud security doors right outside our room woke us up regularly Put the security measures on the elevators ya goofs This is the only negative review I have ever written but the place has potential and needs new management,144,1403,The property is beautiful,5,6,4.6,"[' Leisure trip ', ' Group ', ' Duplex Twin Room ', ' Stayed 7 nights ']",178 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,30-05-2016 0:00,7.7,Hotel Arena,United Kingdom,No Negative,0,1403,breakfast,2,1,3.8,"[' Leisure trip ', ' Family with older children ', ' Duplex Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",430 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,24-10-2016 0:00,7.7,Hotel Arena,France,Even allowing for the hotel being under major renovation works the quality of service leaves a lot to be desired Noise of running water coming from the heating system disturbed our sleep considerably No remediation possible Toiletries in bathroom had been used by previous guests Some were empty some partially used Checkout at 12 30 1hour after official checkout time was declined as priority is given to a tour group arriving earlier than normal checkin time Having paid over 300 for 1 night stay this is somewhat disappointing Service at breakfast was very poor Shabby state of hotel with the exception of the rooms is perhaps explained by the renovation works and work still to be done,119,1403,Large bed,4,21,4.2,"[' Leisure trip ', ' Couple ', ' Large King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",283 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,17-04-2016 0:00,7.7,Hotel Arena,Spain,Currently have building work in the complex This didn t affect our stay as we heard nothing but visually not ideal when you arrive,26,1403,Very comfortable bed and cool hotel,7,17,8.8,"[' Leisure trip ', ' Couple ', ' Duplex Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",473 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,26-08-2015 0:00,7.7,Hotel Arena,United Kingdom,There were renovations going on that made it quite noisy at times,13,1403,How different it was from other hotels the staff the bar area and the location was good for tram access,21,8,8.3,"[' Leisure trip ', ' Group ', ' Duplex Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",708 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,27-11-2016 0:00,7.7,Hotel Arena,France,Hotel under renovation,5,1403,Breakfast,2,23,6.3,"[' Business trip ', ' Solo traveler ', ' Duplex Twin Room ', ' Stayed 2 nights ']",249 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,21-05-2017 0:00,7.7,Hotel Arena,United States of America,We had 2 different rooms here and both were duplexes with identical floorplans There was very little space and the staircase was precarious with no handrail Was kind of a pain to have to go downstairs every time we needed something out of our luggage or needed to use the bathroom,53,1403,The hotel itself is beautiful restaurant is very good and the adjacent park is gorgeous with beautiful birds and rabbits,22,4,8.3,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",74 days,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,03-02-2016 0:00,7.7,Hotel Arena,Netherlands,The location isn t great bit far out from the centre and area surrounding hotel looks rough The hotel looked out of place there When upgrading to a suite with bathtub extra 25 one of the pillows was filthy A call to reception and a new pillow arrived within the hour But still not what you would expect Room service is very expensive and not good quality or as described on the menu,75,1403,The rooms were gorgeous bathroom to die for we upgraded to a suite with bath the hotel interior very nice lovely atmosphere Due to building work In progress we were given a voucher for a free drink at the bar nice gesture,44,1,7.1,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",547 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,19-10-2016 0:00,7.7,Hotel Arena,United States of America,Hotel is currently under renovation so not looking very nice from outside,14,1403,nice location super helpful front desk staff,9,2,8.8,"[' Business trip ', ' Solo traveler ', ' Large King Room ', ' Stayed 9 nights ']",288 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,28-10-2015 0:00,7.7,Hotel Arena,Portugal,the room felt cramped the staff at breakfast was a little to busy to help out when asked,20,1403,the breakfast area is nice,6,1,5.4,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ']",645 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,15-12-2015 0:00,7.7,Hotel Arena,Israel,In our own experience First night we couldn t sleep due to an extreme hot problem caused by the AC The next day we were moved to a better room ok but I was expecting to be refund for the night without proper sleep and we didn t AC was very noisy also in the new room And last At reception you will be told that reserving a taxi to the airport will cost 44Euro After doing so the taxi driver eventually charged us 55 Euro The driver simply said not responsible for promises from the hotel reception Be aware of that if you wanna use taxi from Arena,110,1403,Staff was vey pleasant The place is very well designed,11,2,5.8,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 3 nights ']",597 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,11-12-2016 0:00,7.7,Hotel Arena,Ireland,Rooms were a little louder than we would have liked A lot of noise from people walking by and shutting doors,23,1403,Funky rooms well designed hotel friendly and helpful staff comfy bed,13,2,7.5,"[' Leisure trip ', ' Couple ', ' Duplex Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",235 day,52.361,4.916
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,12-01-2016 0:00,7.7,Hotel Arena,United Kingdom,No Negative,0,1403,Fantastic staff that could not have been more helpful friendly and professional,13,1,9.6,"[' Leisure trip ', ' Couple ', ' Large King Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",569 day,52.361,4.916
Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,589,20-10-2016 0:00,7,NH Carlton Amsterdam,United Kingdom,Poor wi fi dirty bath,6,4231,Location is excellent,4,1,6.7,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",287 day,52.366,4.893
Vijzelstraat 4 Amsterdam City Center 1017 HK Amsterdam Netherlands,589,30-05-2017 0:00,7,NH Carlton Amsterdam,United States of America,Room was dirty and over priced Not as described in pics Tub was Dirty hair from others on bed an bath Lack of pillows asked for addition pillows they could not proved any,35,4231,Location,2,2,3.8,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",65 days,52.366,4.893
Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,20-03-2017 0:00,8.2,Ramada Apollo Amsterdam Centre,United States of America,Bathroom in the lobby was very dirty That is the only negative thing I have to say about this hotel We were VERY pleased with the overall stay and will be returning for sure,36,5770,Comfortable bed lovely facilities and amazing staff,9,4,8.8,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 2 nights ']",136 day,52.368,4.844
Prins Hendrikkade 59 72 Amsterdam City Center 1012 AD Amsterdam Netherlands,493,13-07-2016 0:00,8.6,NH Collection Amsterdam Barbizon Palace,United Kingdom,Expensive parking no help on getting luggage in from car porter at reception just ignored you and just looked down and would not make eye contact Bedroom was not cleaned properly dirty cups left for more than two days also soap not changed and just put back in its carbord box wet so it stuck to it and could not be used,63,2865,Central location,3,7,3.8,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",386 day,52.376,4.9
s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,16-03-2016 0:00,7.7,Hotel Arena,United States of America,The cleanness was quite poor A lot of dust under the bed under the furniture on top of the bed side lamps the remote control and even the plastic glasses in the bathroom were dirty Also something went wrong with the pipes of the shower a horrible smell came out at night,54,1403,The staff was very nice and friendly the size of the room was really great and the style of the hotel is also very nice The bed was quite confortable,32,4,5.8,"[' Business trip ', ' Solo traveler ', ' Duplex Double Room ', ' Stayed 5 nights ']",505 day,52.361,4.916
Provincialeweg 38 Zuidoost 1108 AB Amsterdam Netherlands,245,30-08-2016 0:00,7.5,Golden Tulip Amsterdam Riverside,Switzerland,The hotel was dirty stains on all the rugs and old smells throughout the hotel and the sheet didn t smell fresh The waitress didn t clean the tables before setting the new ones there were crumbs on the booths and tables I had to find a waitress to place my order after being seated for more than ten minutes with nobody tending to my table The toilets didn t flush properly witness by left over toilet paper in the toilet upon my arrival in my room THE FIRST DAY The cleaning ladies didn t clean the bathtubs properly given left over hair from my morning shower was sticking to the side of the bathtub when I came home at night Requesting an iron was demanding the moon it took 24h and numerous request to finally have one and to top it all off it was leaking and I had to iron my clothes on my bed since no ironing board was given to me The bedroom windows haven t been cleaned in ages given the hundred of bugs and webs which were there They say four stars I wouldn t give it any I have one more thing to say about this hotel is RUN AWAY AND DON T LOOK BACK YOU WILL REGRET OTHERWISE,217,2362,Nothing,2,2,2.5,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Twin Room ', ' Stayed 3 nights ']",338 day,52.315,4.996
Spaarndammerdijk 304 Westerpark 1013 ZX Amsterdam Netherlands,252,15-03-2016 0:00,8.5,WestCord Art Hotel Amsterdam 4 stars,Ireland,There was a big dip in the bed which made sleep very difficult The carpet was also a little dirty looking in the room,26,1712,It was quiet and the food in the bar was good The staff were lovely too,18,1,7.5,"[' Leisure trip ', ' Couple ', ' Large Double Room ', ' Stayed 4 nights ']",506 day,52.392,4.868
Professor Tulpplein 1 Amsterdam City Center 1018 GX Amsterdam Netherlands,29,16-10-2016 0:00,9,InterContinental Amstel Amsterdam,Greece,The carpet in the room was dirty,8,151,Very good location breakfast very good coctail bar super matress and pillows,13,1,8.3,"[' Leisure trip ', ' Couple ', ' Executive King Room with City View ', ' Stayed 4 nights ', ' Submitted from a mobile device ']",291 day,52.36,4.905
Stadhouderskade 7 Oud West 1054 ES Amsterdam Netherlands,241,01-11-2016 0:00,7.7,NH Amsterdam Centre,United Kingdom,About 2 months before I traveled I asked for early check in late check out a nice room as it was a special occasion I got none of the above My room was dirty small not that was shown online pictures Had to wait to check in also had to check out at usual time We got told the hotel was fully booked although when we went online it wouldn t let us book for a extra night Overall I was extremely disappointed with my stay I would aprieate it if you could contact me back to explain why this happened,102,1574,Nothing much atal,4,1,3.3,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",275 day,52.363,4.879
Staalmeesterslaan 410 Slotervaart 1057 PH Amsterdam Netherlands,926,31-12-2016 0:00,8.2,Ramada Apollo Amsterdam Centre,Romania,Sorry but the room was not clean I travel a lot every month but i never seen so dirty bathroom in a hotel Room was extremly small Matress and pilows not comfy There not even a little window to open in room for fresh air Dust was everywhere,50,5770,Breakfast hotel location,5,31,5.4,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']",215 day,52.368,4.844
Roemer Visscherstraat 8 10 Oud West 1054 EV Amsterdam Netherlands,119,16-01-2017 0:00,8.3,Hotel Roemer Amsterdam,Canada,The room was quite dirty The fridge looked like it has never been cleaned before The bathtub had hair in it from the previous guests The walls were very dirty The hotel shampoo was in a big container with almost nothing in it We were surprised how dirty the room felt for being a 4 star hotel,59,974,Bed was comfy,5,1,5.4,"[' Couple ', ' Executive Twin Room with Whirlpool ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",199 day,52.362,4.878
Molenwerf 1 1014 AG Amsterdam Netherlands,914,24-02-2016 0:00,8.5,Golden Tulip Amsterdam West,France,My stay was very unpleasant At 7 am in the morning be woken by works in the hotel which are not presic on the site After 6 hours of road we needed to sleep Furthermore one of the towels in the bathroom was dirty from our arrived in the room what s the use to charge us a tourist tax in this case the it is shameful Of more my husband and I let us have of sleep separately because the room consisted of bed twin while we had reserved a room with double bed We are very dissatisfied with this stay We no reviondrons not any more And if we are French any menbre of the staff is capable of welcoming us in any understanding,128,7586,Tr s bel hotel moderne et le personnel d accueil souriant et aimable,15,1,5.8,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']",526 day,52.386,4.847
Spuistraat 288 292 Amsterdam City Center 1012 VX Amsterdam Netherlands,407,18-08-2016 0:00,8.2,NH City Centre Amsterdam,Netherlands,This property presents a facade of an up to date hotel It is definitely NOT what it appears to be The reception staff three individuals at different times became surly and argumentative when I had to correct their wrong assumption They also had no explanation why the room was not ready on check in past the stipulated time 15 00 The cleaning staff is unaware that if you place the Please Clean Now sign on the door at 8 00 am you have the right to expect that at 15 00 the room will be clean The room was dirty candy in the shape of hearts were in the corner perhaps left from Valentine s Day this was early August Also the housekeeping person failed on three of the four days to replace the Body Wash and Shampoo even though the empty bottles were in full view The housekeeper also failed to replenish the notepad even though it had been only used to indicate that the four euro on it were for her The beds do not have electrical outlets so if you use a CPAP machine or other devise you are out of luck unless you bring your own extension cord The shower was so constructed that a person slightly larger than average size could not enter it Someone had obviously ordered the glass partitions without measuring the opening There was no coffee maker in what was described as a premium room only a water heater with instant coffee Who drinks instant coffee in 2016 The website for the hotel advertises a refrigerator in the room but going back to my original comment concerning the facade that is created the refrigerator in the room was so filled with their overpriced items that you could not place even the smallest item of your own in there They had even removed the shelves on the door to crowd more of their items in it All in all this was a hotel to be avoided To be clear I have stayed in other NH hotels in Amsterdam Brussels and Berlin I certainly hope that this property is an enigma,359,3417,The location was great in the city center as the name implies,14,4,3.8,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 4 nights ']",350 day,52.37,4.889
Prins Hendrikkade 108 Amsterdam City Center 1011 AK Amsterdam Netherlands,207,17-03-2016 0:00,8.3,Grand Hotel Amr th Amsterdam,Israel,Windows were dirty Windows couldn t be opened and heating could not be controlled so the room was sometimes stiflingly hot television reception was dismal,27,1530,The decor was amazingly beautiful The minibar was free and constantly restocked,14,1,9.6,"[' Business trip ', ' Couple ', ' Deluxe Room ', ' Stayed 5 nights ']",504 day,52.374,4.904
Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands,975,02-08-2016 0:00,8.7,The Student Hotel Amsterdam City,South Africa,My room was not cleaned and was left with dirty towels to reuse,14,7656,Location,2,19,7.5,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']",366 day,52.355,4.913
,,,,,,,,,,,,,,,,
