year,category,nominee,movie,winner,id
1944,actress in a supporting role,Ethel Barrymore,None but the Lonely Heart,TRUE,408
1946,actress in a supporting role,Ethel Barrymore,The Spiral Staircase,FALSE,409
1947,actress in a supporting role,Ethel Barrymore,The Paradine Case,FALSE,410
1949,actress in a supporting role,Ethel Barrymore,Pinky,FALSE,411
1949,actress in a supporting role,Ethel Waters,Pinky,FALSE,412
1980,actress in a supporting role,Eva Le Gallienne,Resurrection,FALSE,413
1954,actress in a supporting role,Eva Marie Saint,On the Waterfront,TRUE,414
1945,actress in a supporting role,Eve Arden,Mildred Pierce,FALSE,415
1984,actor in a leading role,F. Murray Abraham,Amadeus,TRUE,416
1938,actress,Fay Bainter,White Banners,FALSE,417
1938,actress in a supporting role,Fay Bainter,Jezebel,TRUE,418
1961,actress in a supporting role,Fay Bainter,The Children's Hour,FALSE,419
1967,actress,Faye Dunaway,Bonnie and Clyde,FALSE,420
1974,actress,Faye Dunaway,Chinatown,FALSE,421
1976,actress in a leading role,Faye Dunaway,Network,TRUE,422
2005,actress in a leading role,Felicity Huffman,Transamerica,FALSE,423
1998,actress in a leading role,Fernanda Montenegro,Central Station,FALSE,424
1946,actress in a supporting role,Flora Robson,Saratoga Trunk,FALSE,425
2006,actor in a leading role,Forest Whitaker,The Last King of Scotland,TRUE,426
1988,actress in a supporting role,Frances McDormand,Mississippi Burning,FALSE,427
1996,actress in a leading role,Frances McDormand,Fargo,TRUE,428
2000,actress in a supporting role,Frances McDormand,Almost Famous,FALSE,429
2005,actress in a supporting role,Frances McDormand,North Country,FALSE,430
1965,actor in a supporting role,Frank Finlay,Othello,FALSE,431
2008,actor in a leading role,Frank Langella,Frost/Nixon,FALSE,432
1942,actor in a supporting role,Frank Morgan,Tortilla Flat,FALSE,433
1953,actor in a supporting role,Frank Sinatra,From Here to Eternity,TRUE,434
1955,actor,Frank Sinatra,The Man with the Golden Arm,FALSE,435
1974,actor in a supporting role,Fred Astaire,The Towering Inferno,FALSE,436
1979,actor in a supporting role,Frederic Forrest,The Rose,FALSE,437
1937,actor,Fredric March,A Star Is Born,FALSE,438
1946,actor,Fredric March,The Best Years of Our Lives,TRUE,439
1951,actor,Fredric March,Death of a Salesman,FALSE,440
2009,actress in a leading role,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire,FALSE,441
1936,actress in a supporting role,Gale Sondergaard,Anthony Adverse,TRUE,442
1946,actress in a supporting role,Gale Sondergaard,Anna and the King of Siam,FALSE,443
1978,actor in a leading role,Gary Busey,The Buddy Holly Story,FALSE,444
1936,actor,Gary Cooper,Mr. Deeds Goes to Town,FALSE,445
1941,actor,Gary Cooper,Sergeant York,TRUE,446
1942,actor,Gary Cooper,The Pride of the Yankees,FALSE,447
1943,actor,Gary Cooper,For Whom the Bell Tolls,FALSE,448
1952,actor,Gary Cooper,High Noon,TRUE,449
2011,actor in a leading role,Gary Oldman,Tinker Tailor Soldier Spy,FALSE,450
1994,actor in a supporting role,Gary Sinise,Forrest Gump,FALSE,451
1988,actress in a supporting role,Geena Davis,The Accidental Tourist,TRUE,452
1991,actress in a leading role,Geena Davis,Thelma & Louise,FALSE,453
1974,actress,Gena Rowlands,A Woman under the Influence,FALSE,454
1980,actress in a leading role,Gena Rowlands,Gloria,FALSE,455
1967,actor in a supporting role,Gene Hackman,Bonnie and Clyde,FALSE,456
1970,actor in a supporting role,Gene Hackman,I Never Sang for My Father,FALSE,457
1971,actor,Gene Hackman,The French Connection,TRUE,458
1988,actor in a leading role,Gene Hackman,Mississippi Burning,FALSE,459
1992,actor in a supporting role,Gene Hackman,Unforgiven,TRUE,460
1945,actor,Gene Kelly,Anchors Aweigh,FALSE,461
1938,actor in a supporting role,Gene Lockhart,Algiers,FALSE,462
1945,actress,Gene Tierney,Leave Her to Heaven,FALSE,463
1968,actor in a supporting role,Gene Wilder,The Producers,FALSE,464
1969,actress,Genevieve Bujold,Anne of the Thousand Days,FALSE,465
1996,actor in a leading role,Geoffrey Rush,Shine,TRUE,466
1998,actor in a supporting role,Geoffrey Rush,Shakespeare in Love,FALSE,467
2000,actor in a leading role,Geoffrey Rush,Quills,FALSE,468
2010,actor in a supporting role,Geoffrey Rush,The King's Speech,FALSE,469
1975,actor in a supporting role,George Burns,The Sunshine Boys,TRUE,470
1959,actor in a supporting role,George C. Scott,Anatomy of a Murder,FALSE,471
1961,actor in a supporting role,George C. Scott,The Hustler,FALSE,472
1970,actor,George C. Scott,Patton,TRUE,473
1971,actor,George C. Scott,The Hospital,FALSE,474
1961,actor in a supporting role,George Chakiris,West Side Story,TRUE,475
2005,actor in a supporting role,George Clooney,Syriana,TRUE,476
2007,actor in a leading role,George Clooney,Michael Clayton,FALSE,477
2009,actor in a leading role,George Clooney,Up in the Air,FALSE,478
2011,actor in a leading role,George Clooney,The Descendants,FALSE,479
1967,actor in a supporting role,George Kennedy,Cool Hand Luke,TRUE,480
1950,actor in a supporting role,George Sanders,All about Eve,TRUE,481
1966,actor in a supporting role,George Segal,Who's Afraid of Virginia Woolf?,FALSE,482
1939,actress in a supporting role,Geraldine Fitzgerald,Wuthering Heights,FALSE,483
1953,actress in a supporting role,Geraldine Page,Hondo,FALSE,484
1961,actress,Geraldine Page,Summer and Smoke,FALSE,485
1962,actress,Geraldine Page,Sweet Bird of Youth,FALSE,486
1966,actress in a supporting role,Geraldine Page,You're a Big Boy Now,FALSE,487
1972,actress in a supporting role,Geraldine Page,Pete 'n' Tillie,FALSE,488
1978,actress in a leading role,Geraldine Page,Interiors,FALSE,489
1984,actress in a supporting role,Geraldine Page,The Pope of Greenwich Village,FALSE,490
1985,actress in a leading role,Geraldine Page,The Trip to Bountiful,TRUE,491
1990,actor in a leading role,Gerard Depardieu,Cyrano de Bergerac,FALSE,492
1976,actor in a leading role,Giancarlo Giannini,Seven Beauties,FALSE,493
1951,actor in a supporting role,Gig Young,Come Fill the Cup,FALSE,494
1958,actor in a supporting role,Gig Young,Teacher's Pet,FALSE,495
1969,actor in a supporting role,Gig Young,"They Shoot Horses, Don't They?",TRUE,496
1940,actress,Ginger Rogers,Kitty Foyle,TRUE,497
1942,actress in a supporting role,Gladys Cooper,"Now, Voyager",FALSE,498
1943,actress in a supporting role,Gladys Cooper,The Song of Bernadette,FALSE,499
1964,actress in a supporting role,Gladys Cooper,My Fair Lady,FALSE,500
1936,actress,Gladys George,Valiant Is the Word for Carrie,FALSE,501
1970,actress,Glenda Jackson,Women in Love,TRUE,502
1971,actress,Glenda Jackson,Sunday Bloody Sunday,FALSE,503
1973,actress,Glenda Jackson,A Touch of Class,TRUE,504
1975,actress,Glenda Jackson,Hedda,FALSE,505
1982,actress in a supporting role,Glenn Close,The World According to Garp,FALSE,506
1983,actress in a supporting role,Glenn Close,The Big Chill,FALSE,507
1984,actress in a supporting role,Glenn Close,The Natural,FALSE,508
1987,actress in a leading role,Glenn Close,Fatal Attraction,FALSE,509
1988,actress in a leading role,Glenn Close,Dangerous Liaisons,FALSE,510
2011,actress in a leading role,Glenn Close,Albert Nobbs,FALSE,511
1947,actress in a supporting role,Gloria Grahame,Crossfire,FALSE,512
1952,actress in a supporting role,Gloria Grahame,The Bad and the Beautiful,TRUE,513
1997,actress in a supporting role,Gloria Stuart,Titanic,FALSE,514
1950,actress,Gloria Swanson,Sunset Blvd.,FALSE,515
1960,actress in a supporting role,Glynis Johns,The Sundowners,FALSE,516
1969,actress in a supporting role,Goldie Hawn,Cactus Flower,TRUE,517
1980,actress in a leading role,Goldie Hawn,Private Benjamin,FALSE,518
1953,actress in a supporting role,Grace Kelly,Mogambo,FALSE,519
1954,actress,Grace Kelly,The Country Girl,TRUE,520
1990,actor in a supporting role,Graham Greene,Dances With Wolves,FALSE,521
1964,actress in a supporting role,Grayson Hall,The Night of the Iguana,FALSE,522
1939,actress,Greer Garson,"Goodbye, Mr. Chips",FALSE,523
1941,actress,Greer Garson,Blossoms in the Dust,FALSE,524
1942,actress,Greer Garson,Mrs. Miniver,TRUE,525
1943,actress,Greer Garson,Madame Curie,FALSE,526
1944,actress,Greer Garson,Mrs. Parkington,FALSE,527
1945,actress,Greer Garson,The Valley of Decision,FALSE,528
1960,actress,Greer Garson,Sunrise at Campobello,FALSE,529
1997,actor in a supporting role,Greg Kinnear,As Good as It Gets,FALSE,530
1945,actor,Gregory Peck,The Keys of the Kingdom,FALSE,531
1946,actor,Gregory Peck,The Yearling,FALSE,532
1947,actor,Gregory Peck,Gentleman's Agreement,FALSE,533
1949,actor,Gregory Peck,Twelve O'Clock High,FALSE,534
1962,actor,Gregory Peck,To Kill a Mockingbird,TRUE,535
1937,actress,Greta Garbo,Camille,FALSE,536
1939,actress,Greta Garbo,Ninotchka,FALSE,537
1998,actress in a leading role,Gwyneth Paltrow,Shakespeare in Love,TRUE,538
1937,actor in a supporting role,H. B. Warner,Lost Horizon,FALSE,539
2010,actress in a supporting role,Hailee Steinfeld,True Grit,FALSE,540
1984,actor in a supporting role,Haing S. Ngor,The Killing Fields,TRUE,541
2007,actor in a supporting role,Hal Holbrook,Into the Wild,FALSE,542
1999,actor in a supporting role,Haley Joel Osment,The Sixth Sense,FALSE,543
2001,actress in a leading role,Halle Berry,Monster's Ball,TRUE,544
1946,actor in a supporting role,Harold Russell,The Best Years of Our Lives,TRUE,545
1985,actor in a leading role,Harrison Ford,Witness,FALSE,546
1939,actor in a supporting role,Harry Carey,Mr. Smith Goes to Washington,FALSE,547
1991,actor in a supporting role,Harvey Keitel,Bugsy,FALSE,548
1939,actress in a supporting role,Hattie McDaniel,Gone with the Wind,TRUE,549
2005,actor in a leading role,Heath Ledger,Brokeback Mountain,FALSE,550
2008,actor in a supporting role,Heath Ledger,The Dark Knight,TRUE,551
1970,actress in a supporting role,Helen Hayes,Airport,TRUE,552
1997,actress in a leading role,Helen Hunt,As Good as It Gets,TRUE,553
2012,actress in a supporting role,Helen Hunt,The Sessions,FALSE,554
1994,actress in a supporting role,Helen Mirren,The Madness of King George,FALSE,555
2001,actress in a supporting role,Helen Mirren,Gosford Park,FALSE,556
2006,actress in a leading role,Helen Mirren,The Queen,TRUE,557
2009,actress in a leading role,Helen Mirren,The Last Station,FALSE,558
1997,actress in a leading role,Helena Bonham Carter,The Wings of the Dove,FALSE,559
2010,actress in a supporting role,Helena Bonham Carter,The King's Speech,FALSE,560
1940,actor,Henry Fonda,The Grapes of Wrath,FALSE,561
1981,actor in a leading role,Henry Fonda,On Golden Pond,TRUE,562
1942,actor in a supporting role,Henry Travers,Mrs. Miniver,FALSE,563
1959,actress in a supporting role,Hermione Baddeley,Room at the Top,FALSE,564
1999,actress in a leading role,Hilary Swank,Boys Don't Cry,TRUE,565
2004,actress in a leading role,Hilary Swank,Million Dollar Baby,TRUE,566
1987,actress in a leading role,Holly Hunter,Broadcast News,FALSE,567
1993,actress in a leading role,Holly Hunter,The Piano,TRUE,568
1993,actress in a supporting role,Holly Hunter,The Firm,FALSE,569
2003,actress in a supporting role,Holly Hunter,Thirteen,FALSE,570
1950,actress in a supporting role,Hope Emerson,Caged,FALSE,571
1957,actress in a supporting role,Hope Lange,Peyton Place,FALSE,572
1981,actor in a supporting role,"Howard E. Rollins, Jr.",Ragtime,FALSE,573
1959,actor in a supporting role,Hugh Griffith,Ben-Hur,TRUE,574
1963,actor in a supporting role,Hugh Griffith,Tom Jones,FALSE,575
2012,actor in a leading role,Hugh Jackman,Les Mis_rables,FALSE,576
1944,actor in a supporting role,Hume Cronyn,The Seventh Cross,FALSE,577
1943,actor,Humphrey Bogart,Casablanca,FALSE,578
1951,actor,Humphrey Bogart,The African Queen,TRUE,579
1954,actor,Humphrey Bogart,The Caine Mutiny,FALSE,580
1965,actor in a supporting role,Ian Bannen,The Flight of the Phoenix,FALSE,581
1981,actor in a supporting role,Ian Holm,Chariots of Fire,FALSE,582
1998,actor in a leading role,Ian McKellen,Gods and Monsters,FALSE,583
2001,actor in a supporting role,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,FALSE,584
1966,actress,Ida Kaminska,The Shop on Main Street,FALSE,585
2004,actress in a leading role,Imelda Staunton,Vera Drake,FALSE,586
1943,actress,Ingrid Bergman,For Whom the Bell Tolls,FALSE,587
1944,actress,Ingrid Bergman,Gaslight,TRUE,588
1945,actress,Ingrid Bergman,The Bells of St. Mary's,FALSE,589
1948,actress,Ingrid Bergman,Joan of Arc,FALSE,590
1956,actress,Ingrid Bergman,Anastasia,TRUE,591
1974,actress in a supporting role,Ingrid Bergman,Murder on the Orient Express,TRUE,592
1978,actress in a leading role,Ingrid Bergman,Autumn Sonata,FALSE,593
1936,actress,Irene Dunne,Theodora Goes Wild,FALSE,594
1937,actress,Irene Dunne,The Awful Truth,FALSE,595
1939,actress,Irene Dunne,Love Affair,FALSE,596
1948,actress,Irene Dunne,I Remember Mama,FALSE,597
1975,actress,Isabelle Adjani,The Story of Adele H.,FALSE,598
1989,actress in a leading role,Isabelle Adjani,Camille Claudel,FALSE,599
1943,actor in a supporting role,J. Carrol Naish,Sahara,FALSE,600
1945,actor in a supporting role,J. Carrol Naish,A Medal for Benny,FALSE,601
1968,actor in a supporting role,Jack Albertson,The Subject Was Roses,TRUE,602
1973,actor in a supporting role,Jack Gilford,Save the Tiger,FALSE,603
1960,actor in a supporting role,Jack Kruschen,The Apartment,FALSE,604
1955,actor in a supporting role,Jack Lemmon,Mister Roberts,TRUE,605
1959,actor,Jack Lemmon,Some Like It Hot,FALSE,606
1960,actor,Jack Lemmon,The Apartment,FALSE,607
1962,actor,Jack Lemmon,Days of Wine and Roses,FALSE,608
1973,actor,Jack Lemmon,Save the Tiger,TRUE,609
1979,actor in a leading role,Jack Lemmon,The China Syndrome,FALSE,610
1980,actor in a leading role,Jack Lemmon,Tribute,FALSE,611
1982,actor in a leading role,Jack Lemmon,Missing,FALSE,612
1969,actor in a supporting role,Jack Nicholson,Easy Rider,FALSE,613
1970,actor,Jack Nicholson,Five Easy Pieces,FALSE,614
1973,actor,Jack Nicholson,The Last Detail,FALSE,615
1974,actor,Jack Nicholson,Chinatown,FALSE,616
1975,actor,Jack Nicholson,One Flew over the Cuckoo's Nest,TRUE,617
1981,actor in a supporting role,Jack Nicholson,Reds,FALSE,618
1983,actor in a supporting role,Jack Nicholson,Terms of Endearment,TRUE,619
1985,actor in a leading role,Jack Nicholson,Prizzi's Honor,FALSE,620
1987,actor in a leading role,Jack Nicholson,Ironweed,FALSE,621
1992,actor in a supporting role,Jack Nicholson,A Few Good Men,FALSE,622
1997,actor in a leading role,Jack Nicholson,As Good as It Gets,TRUE,623
2002,actor in a leading role,Jack Nicholson,About Schmidt,FALSE,624
1940,actor in a supporting role,Jack Oakie,The Great Dictator,FALSE,625
1952,actor in a supporting role,Jack Palance,Sudden Fear,FALSE,626
1953,actor in a supporting role,Jack Palance,Shane,FALSE,627
1991,actor in a supporting role,Jack Palance,City Slickers,TRUE,628
1975,actor in a supporting role,Jack Warden,Shampoo,FALSE,629
1978,actor in a supporting role,Jack Warden,Heaven Can Wait,FALSE,630
1968,actor in a supporting role,Jack Wild,Oliver!,FALSE,631
2010,actress in a supporting role,Jacki Weaver,Animal Kingdom,FALSE,632
2012,actress in a supporting role,Jacki Weaver,Silver Linings Playbook,FALSE,633
2006,actor in a supporting role,Jackie Earle Haley,Little Children,FALSE,634
1961,actor in a supporting role,Jackie Gleason,The Hustler,FALSE,635
2005,actor in a supporting role,Jake Gyllenhaal,Brokeback Mountain,FALSE,636
1972,actor in a supporting role,James Caan,The Godfather,FALSE,637
1938,actor,James Cagney,Angels with Dirty Faces,FALSE,638
1942,actor,James Cagney,Yankee Doodle Dandy,TRUE,639
1955,actor,James Cagney,Love Me or Leave Me,FALSE,640
1998,actor in a supporting role,James Coburn,Affliction,TRUE,641
1981,actor in a supporting role,James Coco,Only When I Laugh,FALSE,642
1995,actor in a supporting role,James Cromwell,Babe,FALSE,643
1955,actor,James Dean,East of Eden,FALSE,644
1956,actor,James Dean,Giant,FALSE,645
1945,actor in a supporting role,James Dunn,A Tree Grows in Brooklyn,TRUE,646
1970,actor,James Earl Jones,The Great White Hope,FALSE,647
2010,actor in a leading role,James Franco,127 Hours,FALSE,648
1985,actor in a leading role,James Garner,Murphy's Romance,FALSE,649
1941,actor in a supporting role,James Gleason,Here Comes Mr. Jordan,FALSE,650
1954,actor,James Mason,A Star Is Born,FALSE,651
1966,actor in a supporting role,James Mason,Georgy Girl,FALSE,652
1982,actor in a supporting role,James Mason,The Verdict,FALSE,653
1940,actor in a supporting role,James Stephenson,The Letter,FALSE,654
1939,actor,James Stewart,Mr. Smith Goes to Washington,FALSE,655
1940,actor,James Stewart,The Philadelphia Story,TRUE,656
1946,actor,James Stewart,It's a Wonderful Life,FALSE,657
1950,actor,James Stewart,Harvey,FALSE,658
1959,actor,James Stewart,Anatomy of a Murder,FALSE,659
1949,actor in a supporting role,James Whitmore,Battleground,FALSE,660
1975,actor,James Whitmore,"Give 'em Hell, Harry!",FALSE,661
1986,actor in a leading role,James Woods,Salvador,FALSE,662
1996,actor in a supporting role,James Woods,Ghosts of Mississippi,FALSE,663
2004,actor in a leading role,Jamie Foxx,Ray,TRUE,664
2004,actor in a supporting role,Jamie Foxx,Collateral,FALSE,665
1954,actress in a supporting role,Jan Sterling,The High and the Mighty,FALSE,666
1970,actress,Jane Alexander,The Great White Hope,FALSE,667
1976,actress in a supporting role,Jane Alexander,All the President's Men,FALSE,668
1979,actress in a supporting role,Jane Alexander,Kramer vs. Kramer,FALSE,669
1983,actress in a leading role,Jane Alexander,Testament,FALSE,670
1940,actress in a supporting role,Jane Darwell,The Grapes of Wrath,TRUE,671
1969,actress,Jane Fonda,"They Shoot Horses, Don't They?",FALSE,672
1971,actress,Jane Fonda,Klute,TRUE,673
1977,actress in a leading role,Jane Fonda,Julia,FALSE,674
1978,actress in a leading role,Jane Fonda,Coming Home,TRUE,675
1979,actress in a leading role,Jane Fonda,The China Syndrome,FALSE,676
1981,actress in a supporting role,Jane Fonda,On Golden Pond,FALSE,677
1986,actress in a leading role,Jane Fonda,The Morning After,FALSE,678
1946,actress,Jane Wyman,The Yearling,FALSE,679
1948,actress,Jane Wyman,Johnny Belinda,TRUE,680
1951,actress,Jane Wyman,The Blue Veil,FALSE,681
1954,actress,Jane Wyman,Magnificent Obsession,FALSE,682
1937,actress,Janet Gaynor,A Star Is Born,FALSE,683
1960,actress in a supporting role,Janet Leigh,Psycho,FALSE,684
1999,actress in a leading role,Janet McTeer,Tumbleweeds,FALSE,685
2011,actress in a supporting role,Janet McTeer,Albert Nobbs,FALSE,686
1971,actress,Janet Suzman,Nicholas and Alexandra,FALSE,687
1973,actor in a supporting role,Jason Miller,The Exorcist,FALSE,688
1976,actor in a supporting role,Jason Robards,All the President's Men,TRUE,689
1977,actor in a supporting role,Jason Robards,Julia,TRUE,690
1980,actor in a supporting role,Jason Robards,Melvin and Howard,FALSE,691
2000,actor in a leading role,Javier Bardem,Before Night Falls,FALSE,692
2007,actor in a supporting role,Javier Bardem,No Country for Old Men,TRUE,693
2010,actor in a leading role,Javier Bardem,Biutiful,FALSE,694
1992,actor in a supporting role,Jaye Davidson,The Crying Game,FALSE,695
1943,actress,Jean Arthur,The More the Merrier,FALSE,696
2011,actor in a leading role,Jean Dujardin,The Artist,TRUE,697
1952,actress in a supporting role,Jean Hagen,Singin' in the Rain,FALSE,698
1948,actress in a supporting role,Jean Simmons,Hamlet,FALSE,699
1969,actress,Jean Simmons,The Happy Ending,FALSE,700
1949,actress,Jeanne Crain,Pinky,FALSE,701
1972,actress in a supporting role,Jeannie Berlin,The Heartbreak Kid,FALSE,702
1971,actor in a supporting role,Jeff Bridges,The Last Picture Show,FALSE,703
1974,actor in a supporting role,Jeff Bridges,Thunderbolt and Lightfoot,FALSE,704
1984,actor in a leading role,Jeff Bridges,Starman,FALSE,705
2000,actor in a supporting role,Jeff Bridges,The Contender,FALSE,706
2009,actor in a leading role,Jeff Bridges,Crazy Heart,TRUE,707
2010,actor in a leading role,Jeff Bridges,True Grit,FALSE,708
1950,actor in a supporting role,Jeff Chandler,Broken Arrow,FALSE,709
2001,actress in a supporting role,Jennifer Connelly,A Beautiful Mind,TRUE,710
2006,actress in a supporting role,Jennifer Hudson,Dreamgirls,TRUE,711
1943,actress,Jennifer Jones,The Song of Bernadette,TRUE,712
1944,actress in a supporting role,Jennifer Jones,Since You Went Away,FALSE,713
1945,actress,Jennifer Jones,Love Letters,FALSE,714
1946,actress,Jennifer Jones,Duel in the Sun,FALSE,715
1955,actress,Jennifer Jones,Love Is a Many-Splendored Thing,FALSE,716
2010,actress in a leading role,Jennifer Lawrence,Winter's Bone,FALSE,717
2012,actress in a leading role,Jennifer Lawrence,Silver Linings Playbook,TRUE,718
1994,actress in a supporting role,Jennifer Tilly,Bullets over Broadway,FALSE,719
1990,actor in a leading role,Jeremy Irons,Reversal of Fortune,TRUE,720
2009,actor in a leading role,Jeremy Renner,The Hurt Locker,FALSE,721
2010,actor in a supporting role,Jeremy Renner,The Town,FALSE,722
2010,actor in a leading role,Jesse Eisenberg,The Social Network,FALSE,723
2011,actress in a supporting role,Jessica Chastain,The Help,FALSE,724
2012,actress in a leading role,Jessica Chastain,Zero Dark Thirty,FALSE,725
1982,actress in a leading role,Jessica Lange,Frances,FALSE,726
1982,actress in a supporting role,Jessica Lange,Tootsie,TRUE,727
1984,actress in a leading role,Jessica Lange,Country,FALSE,728
1985,actress in a leading role,Jessica Lange,Sweet Dreams,FALSE,729
1989,actress in a leading role,Jessica Lange,Music Box,FALSE,730
1994,actress in a leading role,Jessica Lange,Blue Sky,TRUE,731
1989,actress in a leading role,Jessica Tandy,Driving Miss Daisy,TRUE,732
1991,actress in a supporting role,Jessica Tandy,Fried Green Tomatoes,FALSE,733
1978,actress in a leading role,Jill Clayburgh,An Unmarried Woman,FALSE,734
1979,actress in a leading role,Jill Clayburgh,Starting Over,FALSE,735
2001,actor in a supporting role,Jim Broadbent,Iris,TRUE,736
1955,actress in a supporting role,Jo Van Fleet,East of Eden,TRUE,737
1995,actress in a supporting role,Joan Allen,Nixon,FALSE,738
1996,actress in a supporting role,Joan Allen,The Crucible,FALSE,739
2000,actress in a leading role,Joan Allen,The Contender,FALSE,740
1951,actress in a supporting role,Joan Blondell,The Blue Veil,FALSE,741
1945,actress,Joan Crawford,Mildred Pierce,TRUE,742
1947,actress,Joan Crawford,Possessed,FALSE,743
1952,actress,Joan Crawford,Sudden Fear,FALSE,744
1988,actress in a supporting role,Joan Cusack,Working Girl,FALSE,745
1997,actress in a supporting role,Joan Cusack,In & Out,FALSE,746
1940,actress,Joan Fontaine,Rebecca,FALSE,747
1941,actress,Joan Fontaine,Suspicion,TRUE,748
1943,actress,Joan Fontaine,The Constant Nymph,FALSE,749
1981,actress in a supporting role,Joan Hackett,Only When I Laugh,FALSE,750
1945,actress in a supporting role,Joan Lorring,The Corn Is Green,FALSE,751
1992,actress in a supporting role,Joan Plowright,Enchanted April,FALSE,752
1957,actress,Joanne Woodward,The Three Faces of Eve,TRUE,753
1968,actress,Joanne Woodward,"Rachel, Rachel",FALSE,754
1973,actress,Joanne Woodward,"Summer Wishes, Winter Dreams",FALSE,755
1990,actress in a leading role,Joanne Woodward,Mr. & Mrs. Bridge,FALSE,756
2000,actor in a supporting role,Joaquin Phoenix,Gladiator,FALSE,757
2005,actor in a leading role,Joaquin Phoenix,Walk the Line,FALSE,758
2012,actor in a leading role,Joaquin Phoenix,The Master,FALSE,759
1966,actress in a supporting role,Jocelyne Lagarde,Hawaii,FALSE,760
1976,actress in a supporting role,Jodie Foster,Taxi Driver,FALSE,761
1988,actress in a leading role,Jodie Foster,The Accused,TRUE,762
1991,actress in a leading role,Jodie Foster,The Silence of the Lambs,TRUE,763
1994,actress in a leading role,Jodie Foster,Nell,FALSE,764
1955,actor in a supporting role,Joe Mantell,Marty,FALSE,765
1980,actor in a supporting role,Joe Pesci,Raging Bull,FALSE,766
1990,actor in a supporting role,Joe Pesci,Good Fellas,TRUE,767
1972,actor in a supporting role,Joel Grey,Cabaret,TRUE,768
2002,actor in a supporting role,John C. Reilly,Chicago,FALSE,769
1967,actor in a supporting role,John Cassavetes,The Dirty Dozen,FALSE,770
1945,actor in a supporting role,John Dall,The Corn Is Green,FALSE,771
1938,actor in a supporting role,John Garfield,Four Daughters,FALSE,772
1947,actor,John Garfield,Body and Soul,FALSE,773
1964,actor in a supporting role,John Gielgud,Becket,FALSE,774
1981,actor in a supporting role,John Gielgud,Arthur,TRUE,775
2010,actor in a supporting role,John Hawkes,Winter's Bone,FALSE,776
1973,actor in a supporting role,John Houseman,The Paper Chase,TRUE,777
1978,actor in a supporting role,John Hurt,Midnight Express,FALSE,778
1980,actor in a leading role,John Hurt,The Elephant Man,FALSE,779
1963,actor in a supporting role,John Huston,The Cardinal,FALSE,780
1949,actor in a supporting role,John Ireland,All the King's Men,FALSE,781
1982,actor in a supporting role,John Lithgow,The World According to Garp,FALSE,782
1983,actor in a supporting role,John Lithgow,Terms of Endearment,FALSE,783
1984,actor in a supporting role,John Malkovich,Places in the Heart,FALSE,784
1993,actor in a supporting role,John Malkovich,In the Line of Fire,FALSE,785
1970,actor in a supporting role,John Marley,Love Story,FALSE,786
1970,actor in a supporting role,John Mills,Ryan's Daughter,TRUE,787
1977,actor in a leading role,John Travolta,Saturday Night Fever,FALSE,788
1994,actor in a leading role,John Travolta,Pulp Fiction,FALSE,789
1949,actor,John Wayne,Sands of Iwo Jima,FALSE,790
1969,actor,John Wayne,True Grit,TRUE,791
2003,actor in a leading role,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,FALSE,792
2004,actor in a leading role,Johnny Depp,Finding Neverland,FALSE,793
2007,actor in a leading role,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street,FALSE,794
1969,actor,Jon Voight,Midnight Cowboy,FALSE,795
1978,actor in a leading role,Jon Voight,Coming Home,TRUE,796
1985,actor in a leading role,Jon Voight,Runaway Train,FALSE,797
2001,actor in a supporting role,Jon Voight,Ali,FALSE,798
2011,actor in a supporting role,Jonah Hill,Moneyball,FALSE,799
1948,actor in a supporting role,Jos_ Ferrer,Joan of Arc,FALSE,800
1950,actor,Jos_ Ferrer,Cyrano de Bergerac,TRUE,801
1952,actor,Jos_ Ferrer,Moulin Rouge,FALSE,802
1937,actor in a supporting role,Joseph Schildkraut,The Life of Emile Zola,TRUE,803
1950,actress in a supporting role,Josephine Hull,Harvey,TRUE,804
2008,actor in a supporting role,Josh Brolin,Milk,FALSE,805
1963,actress in a supporting role,Joyce Redman,Tom Jones,FALSE,806
1965,actress in a supporting role,Joyce Redman,Othello,FALSE,807
1959,actress in a supporting role,Juanita Moore,Imitation of Life,FALSE,808
1980,actor in a supporting role,Judd Hirsch,Ordinary People,FALSE,809
1999,actor in a supporting role,Jude Law,The Talented Mr. Ripley,FALSE,810
2003,actor in a leading role,Jude Law,Cold Mountain,FALSE,811
1997,actress in a leading role,Judi Dench,Mrs. Brown,FALSE,812
1998,actress in a supporting role,Judi Dench,Shakespeare in Love,TRUE,813
2000,actress in a supporting role,Judi Dench,Chocolat,FALSE,814
2001,actress in a leading role,Judi Dench,Iris,FALSE,815
2005,actress in a leading role,Judi Dench,Mrs. Henderson Presents,FALSE,816
2006,actress in a leading role,Judi Dench,Notes on a Scandal,FALSE,817
1940,actress in a supporting role,Judith Anderson,Rebecca,FALSE,818
1984,actress in a leading role,Judy Davis,A Passage to India,FALSE,819
1992,actress in a supporting role,Judy Davis,Husbands and Wives,FALSE,820
1954,actress,Judy Garland,A Star Is Born,FALSE,821
1961,actress in a supporting role,Judy Garland,Judgment at Nuremberg,FALSE,822
1950,actress,Judy Holliday,Born Yesterday,TRUE,823
